date,gz_spread,ebp,est_prob
JUL1985,1.1134,0.0927,0.2479809529
AUG1985,1.1213,0.0948,0.2488395137
SEP1985,1.1338,0.1931,0.2915189312
OCT1985,1.2266,0.2463,0.315956259
NOV1985,1.3188,0.2600,0.3224067077
DEC1985,1.3963,0.0226,0.2197711638
JAN1986,1.3740,0.2845,0.3340501964
FEB1986,1.5887,-0.1855,0.1476953602
MAR1986,2.0453,0.5786,0.4831230557
APR1986,1.9605,0.5297,0.4575639152
MAY1986,1.6074,0.0362,0.2251097295
JUN1986,1.9120,0.0723,0.2395634864
JUL1986,2.0615,0.6914,0.5421843232
AUG1986,2.2263,0.6400,0.515285499
SEP1986,1.8710,0.2861,0.3348121355
OCT1986,1.9103,0.4939,0.4389436708
NOV1986,2.0351,0.6015,0.4951079233
DEC1986,1.9219,0.6084,0.4987616585
JAN1987,1.7773,0.4621,0.4225187881
FEB1987,1.8687,0.5071,0.4458177097
MAR1987,1.7994,0.4044,0.393118461
APR1987,1.6727,-0.3580,0.1014917747
MAY1987,1.6588,0.1341,0.2655123711
JUN1987,1.6056,0.1202,0.2595721904
JUL1987,1.5694,0.2231,0.3052136833
AUG1987,1.4947,0.2340,0.3102443836
SEP1987,1.4851,0.2394,0.3127685219
OCT1987,1.5545,-0.8114,0.0308184007
NOV1987,1.5137,0.1179,0.2585817085
DEC1987,1.4601,-0.1254,0.1666507413
JAN1988,1.6227,-0.2854,0.1194662601
FEB1988,1.5817,0.1129,0.2564516033
MAR1988,1.4895,-0.1446,0.160434483
APR1988,1.3832,-0.0651,0.1872154309
MAY1988,1.3491,-0.0084,0.2079216209
JUN1988,1.4233,0.0775,0.2416923545
JUL1988,1.3061,-0.2264,0.1356162593
AUG1988,1.3139,-0.0321,0.1991071169
SEP1988,1.4101,0.1557,0.2749004223
OCT1988,1.5610,0.2683,0.326312431
NOV1988,1.4272,0.1239,0.2611544841
DEC1988,1.4266,0.2486,0.3170510344
JAN1989,1.4928,0.2319,0.3092725711
FEB1989,1.4105,0.1602,0.2768618538
MAR1989,1.5003,0.4145,0.3981968389
APR1989,1.5343,0.4923,0.4381173328
MAY1989,1.6280,0.3221,0.3522190028
JUN1989,1.7619,0.5324,0.4589593662
JUL1989,1.8738,0.7529,0.5740589098
AUG1989,1.6542,0.4354,0.4088323778
SEP1989,1.5105,0.5096,0.4471044093
OCT1989,1.6196,0.5214,0.4532162517
NOV1989,1.6627,0.6980,0.5456015541
DEC1989,1.5458,0.5618,0.4743273653
JAN1990,1.4478,0.3010,0.3419382093
FEB1990,1.4216,0.4277,0.4049099237
MAR1990,1.4344,0.4650,0.4240022832
APR1990,1.2154,0.0963,0.2494886415
MAY1990,1.1614,0.1064,0.2537313495
JUN1990,1.1794,0.2066,0.2976452921
JUL1990,1.1654,0.1722,0.282191226
AUG1990,1.1188,-0.1044,0.1736559133
SEP1990,1.1332,0.0965,0.2495560137
OCT1990,1.4257,0.3039,0.3433668262
NOV1990,1.5637,0.4004,0.3911032692
DEC1990,1.6005,0.3887,0.3851673602
JAN1991,1.6255,0.4446,0.4135545501
FEB1991,1.4448,0.3441,0.3629818877
MAR1991,1.4259,0.2904,0.3368500646
APR1991,1.3996,0.2329,0.3097549012
MAY1991,1.3499,0.2224,0.3048939399
JUN1991,1.3254,0.1322,0.2646923015
JUL1991,1.4326,0.2497,0.3175566353
AUG1991,1.3245,0.1637,0.2784097489
SEP1991,1.4186,0.1865,0.2885712987
OCT1991,1.3934,0.1843,0.2875912957
NOV1991,1.3776,0.1975,0.2935018075
DEC1991,1.5559,0.2123,0.3002280371
JAN1992,1.3523,0.0878,0.2459634129
FEB1992,1.2939,0.1247,0.2614963116
MAR1992,1.2338,0.0801,0.2427677088
APR1992,1.2287,0.0674,0.2375682334
MAY1992,1.2366,0.0281,0.221929155
JUN1992,1.2075,0.0101,0.2149408707
JUL1992,1.2723,-0.0654,0.1871170234
AUG1992,1.4331,0.1163,0.257917789
SEP1992,1.5387,0.2128,0.3004852158
OCT1992,1.4209,0.1339,0.2654367098
NOV1992,1.2968,0.1051,0.2531847445
DEC1992,1.3660,0.1462,0.2707544049
JAN1993,1.3919,0.1061,0.2535707742
FEB1993,1.4234,0.0818,0.2434939249
MAR1993,1.3785,0.0626,0.2356509894
APR1993,1.4241,0.0817,0.2434350666
MAY1993,1.3408,0.0487,0.2300483306
JUN1993,1.3206,-0.0400,0.1962074117
JUL1993,1.2974,-0.0438,0.1948290822
AUG1993,1.3772,-0.0554,0.1906771022
SEP1993,1.4075,0.0403,0.2267135937
OCT1993,1.3629,-0.0268,0.2010513375
NOV1993,1.2880,-0.1074,0.1726337518
DEC1993,1.2655,-0.1331,0.164145036
JAN1994,1.2251,-0.2114,0.1399568739
FEB1994,1.1275,-0.4025,0.0914954362
MAR1994,1.2117,-0.2840,0.1198255954
APR1994,1.2144,-0.2467,0.1298932129
MAY1994,1.2423,-0.2505,0.1288549036
JUN1994,1.1993,-0.3077,0.1137028027
JUL1994,1.1996,-0.2731,0.1227175022
AUG1994,1.1792,-0.2345,0.1333196895
SEP1994,1.1553,-0.3644,0.1000022747
OCT1994,1.1848,-0.2707,0.1233517987
NOV1994,1.2354,-0.2225,0.1367608093
DEC1994,1.2726,-0.1647,0.1540921486
JAN1995,1.2687,-0.2076,0.1410823976
FEB1995,1.2323,-0.2498,0.129031972
MAR1995,1.2370,-0.2523,0.1283533455
APR1995,1.2045,-0.2057,0.1416354268
MAY1995,1.3157,-0.3037,0.1147201389
JUN1995,1.3402,-0.1140,0.1704358908
JUL1995,1.2610,-0.2872,0.1189751457
AUG1995,1.2786,-0.1781,0.1499268908
SEP1995,1.2664,-0.1468,0.1597367395
OCT1995,1.3510,-0.1099,0.1717914754
NOV1995,1.4044,-0.0244,0.2019277423
DEC1995,1.4236,-0.0305,0.1996873894
JAN1996,1.4090,-0.0783,0.1825827841
FEB1996,1.3118,-0.3023,0.1150853555
MAR1996,1.2754,-0.3156,0.1117167518
APR1996,1.2681,-0.2678,0.1241238367
MAY1996,1.2190,-0.2912,0.117948069
JUN1996,1.2796,-0.2499,0.1290029963
JUL1996,1.2955,-0.2974,0.1163528039
AUG1996,1.2684,-0.3644,0.0999983584
